,NAME,ADDRESS,CITY,STATE,ZIP,OWNER,BEDS,RATING
45,VIBRA HOSPITAL OF BOISE,2131 SOUTH BONITO WAY,MERIDIAN,ID,83642,PROPRIETARY,60.0,4.3
46,CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,GOVERNMENT - DISTRICT/AUTHORITY,227.0,2.7
47,WAKEMED NORTH,10000 FALLS OF NEUSE ROAD,RALEIGH,NC,27614,NON-PROFIT,61.0,3.3
48,VIBRA HOSPITAL OF FORT WAYNE,"2200 RANDALLIA DRIVE,5TH FLOOR",FORT WAYNE,IN,46805,PROPRIETARY,48.0,1.6
49,ALTRU SPECIALTY HOSPITAL,4500 S WASHINGTON ST,GRAND FORKS,ND,58201,NON-PROFIT,45.0,5.0
50,PEMBINA COUNTY MEMORIAL HOSPITAL,301 MOUNTAIN ST E,CAVALIER,ND,58220,NON-PROFIT,20.0,3.0
51,SANFORD MEDICAL CENTER FARGO,5225 23RD AVE S,FARGO,ND,58103,NON-PROFIT,228.0,4.4
52,LOGANSPORT STATE HOSPITAL,1098 S SR 25,LOGANSPORT,IN,46947,GOVERNMENT - STATE,-999.0,4.2
53,SANFORD TRANSPLANT CENTER,736 BROADWAY,FARGO,ND,58122,NON-PROFIT,-999.0,N/A
54,COMMUNITY HOSPITAL ONAGA LTCU,206 GRAND AVE,ST MARYS,KS,66536,NOT AVAILABLE,-999.0,N/A
55,ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,67701,GOVERNMENT - LOCAL,-999.0,2.7
56,ST. LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,NON-PROFIT,25.0,4.5
57,NELL J. REDFIELD MEMORIAL HOSPITAL,150 NORTH 200 WEST,MALAD CITY,ID,83252,NOT AVAILABLE,11.0,4.6
58,COFFEY COUNTY HOSPITAL LTCU,128 S PEARSON AVE,WAVERLY,KS,66871,GOVERNMENT - LOCAL,-999.0,N/A
59,GRISELL MEMORIAL HOSPITAL LTCU,330 S VERMONT PO BOX 268,RANSOM,KS,67572,NOT AVAILABLE,-999.0,N/A
60,UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77550,GOVERNMENT - STATE,370.0,5.0
61,LAKE GRANBURY MEDICAL CENTER,1310 PALUXY ROAD,GREENVILLE,TX,76048,PROPRIETARY,83.0,3.7
62,LIMESTONE MEDICAL CENTER,701 MCCLINTIC DR.,HAMLIN,TX,76642,GOVERNMENT - DISTRICT/AUTHORITY,20.0,3.6
63,MARIAN CENTER,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,NOT AVAILABLE,-999.0,N/A
64,CENTER FOR CHANGE,1790 NORTH STATE STREET,OREM,UT,84097,NOT AVAILABLE,-999.0,N/A
65,BLUE MOUNTAIN HOSPITAL,802 SOUTH 200 WEST,BLANDING,UT,84511,NOT AVAILABLE,-999.0,3.8
66,LDS HOSPITAL,324 8TH AVENUE,SALT LAKE CITY,UT,84143,NON-PROFIT,241.0,3.6
67,CHEROKEE NATION W. W. HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK,74464,GOVERNMENT - FEDERAL,-999.0,2.9
68,LAWTON HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK,73507,GOVERNMENT - FEDERAL,26.0,3.3
69,HOLLY HILL HOSPITAL,3019 FALSTAFF RD,RALEIGH,NC,27610,PROPRIETARY,-999.0,2.3
70,KIOWA DISTRICT HOSPITAL,1002 SOUTH 4TH STREET,KIOWA,KS,67070,NOT AVAILABLE,10.0,1.0
71,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,JUNEAU,AK,99801,GOVERNMENT - FEDERAL,-999.0,3.7
72,MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT STREET,HOUSTON,TX,77074,NON-PROFIT,547.0,2.7
73,MS BAND OF CHOCTAW HOSPITAL,210 HOSPITAL CIRCLE,CHOCTAW,MS,39350,GOVERNMENT - FEDERAL,-999.0,4.0
74,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD.,ADA,OK,74820,GOVERNMENT - FEDERAL,-999.0,3.8
75,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH “B” STREET,ZUNI,NM,87327,GOVERNMENT - FEDERAL,28.0,3.8
76,CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,HOUSTON,TX,77065,PROPRIETARY,180.0,2.6
77,CHOCTAW NATION INDIAN HOSPITAL (TALIHINA),ONE CHOCTAW WAY,TALIHINA,OK,74571,GOVERNMENT - FEDERAL,-999.0,4.4
78,CLAREMORE HOSPITAL,101 S MOORE AVENUE (SOUTH MOORE & WILL ROGERS BLVD),CLAREMORE,OK,74017,GOVERNMENT - FEDERAL,-999.0,2.9
79,ROSEBUD HOSPITAL,"BIA ROUTE 1, SOLDER CREEK ROAD",ROSEBUD,SD,57570,GOVERNMENT - FEDERAL,35.0,N/A
80,PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD,57770,GOVERNMENT - FEDERAL,45.0,2.5
81,WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE,68071,GOVERNMENT - FEDERAL,-999.0,3.3
82,BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT,59417,GOVERNMENT - FEDERAL,-999.0,3.1
83,IRWIN ARMY COMMUNITY HOSPITAL,600 CAISSON HILL RD,FORT RILEY,KS,66442,GOVERNMENT - FEDERAL,-999.0,N/A
84,NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,GOVERNMENT - FEDERAL,-999.0,3.5
85,BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,GOVERNMENT - FEDERAL,-999.0,3.2
86,NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,GOVERNMENT - FEDERAL,-999.0,3.1
87,99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,4700 LAS VEGAS BLVD N,NELLIS AFB,NV,89191,GOVERNMENT - FEDERAL,-999.0,3.9
88,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,GOVERNMENT - FEDERAL,-999.0,3.3
89,88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,4881 SUGAR MAPLE DR,WRIGHT PATTERSON AFB,OH,45433,GOVERNMENT - FEDERAL,-999.0,3.7
90,REYNOLDS ARMY COMMUNITY HOSPITAL,4301 WILSON ST,FORT SILL,OK,73503,GOVERNMENT - FEDERAL,-999.0,2.4
91,FORT BELVOIR COMMUNITY HOSPITAL,9300 DEWITT LOOP,FORT BELVOIR,VA,22060,GOVERNMENT - FEDERAL,-999.0,3.1
92,MONCRIEF ARMY COMMUNITY HOSPITAL,4500 STUART ST,FORT JACKSON,SC,29206,GOVERNMENT - FEDERAL,-999.0,3.5
93,FORT LEONARD WOOD ARMY COMMUNITY HOSPITAL,126 MISSOURI AVE,FORT LEONARD WOOD,MO,65473,GOVERNMENT - FEDERAL,-999.0,2.2
94,STRATEGIC BEHAVIORAL CENTER GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529,PROPRIETARY,-999.0,2.4
95,KINDRED HOSPITAL - TARRANT COUNTY,1000 NORTH COOPER STREET,ARLINGTON,TX,76011,PROPRIETARY,68.0,3.9
96,ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,ANCHORAGE,AK,99504,GOVERNMENT - FEDERAL,-999.0,3.6
97,VA MEDICAL CENTER - NEWINGTON CAMPUS,555 WILLARD AVE,NEWINGTON,CT,6111,GOVERNMENT - FEDERAL,-999.0,N/A
98,JAMES A. HALEY VETERANS' HOSPITAL PRIMARY CARE ANNEX,13515 LAKE TERRACE LANE,TAMPA,FL,33637,GOVERNMENT - FEDERAL,-999.0,4.3
99,VA MEDICAL CENTER - FORT WAYNE CAMPUS,2121 LAKE AVE,FORT WAYNE,IN,46805,GOVERNMENT - FEDERAL,-999.0,N/A
100,ROBERT J. DOLE VA MEDICAL CENTER,5500 E KELLOGG AVE,WICHITA,KS,67218,GOVERNMENT - FEDERAL,-999.0,4.0
101,RICHARD L. ROUDEBUSH VA MEDICAL CENTER,1481 W 10TH ST,INDIANAPOLIS,IN,46202,GOVERNMENT - FEDERAL,-999.0,3.3
102,"VA MEDICAL CENTER - MARION, IN",1700 E 38TH ST,MARION,IN,46953,GOVERNMENT - FEDERAL,-999.0,3.0
103,VA MEDICAL CENTER - BROCKTON DIVISION,940 BELMONT ST,BROCKTON,MA,2401,GOVERNMENT - FEDERAL,-999.0,3.8
104,VA CENTRAL WESTERN MASSACHUSETTS HEALTHCARE SYSTEM,421 N MAIN ST,NORTHAMPTON,MA,1062,GOVERNMENT - FEDERAL,-999.0,N/A
105,VA MEDICAL CENTER - WEST ROXBURY DIVISION,1400 VFW PKY,WEST ROXBURY,MA,2132,GOVERNMENT - FEDERAL,-999.0,N/A
106,CAPTAIN JAMES A. LOVELL FEDERAL HEALTH CARE CENTER,3001 GREEN BAY RD,NORTH CHICAGO,IL,60064,GOVERNMENT - FEDERAL,-999.0,3.9
107,UNC HOSPITALS AT WAKEBROOK,111 SUNNYBROOK ROAD,RALEIGH,NC,27610,GOVERNMENT - STATE,-999.0,5.0
108,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BLVD,TOPEKA,KS,66622,GOVERNMENT - FEDERAL,-999.0,3.9
109,DWIGHT D. EISENHOWER VA MEDICAL CENTER,4101 4TH ST TRAFFICWAY,LEAVENWORTH,KS,66048,GOVERNMENT - FEDERAL,-999.0,4.1
110,SAINT JOSEPHS HOSPITAL AND MEDICAL CENTER,703 MAIN STREET,PATERSON,NJ,7503,NON-PROFIT,651.0,2.7
111,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,6441 MAIN STREET,HOUSTON,TX,77030,PROPRIETARY,116.0,3.5
112,LAMB HEALTHCARE CENTER,1500 SOUTH SUNSET AVENUE,LITTLEFIELD,TX,79339,GOVERNMENT - LOCAL,75.0,4.0
113,BAYSHORE MEDICAL CENTER,727 NORTH BEERS STREET,HOLMDEL,NJ,7733,NON-PROFIT,211.0,3.6
114,VA MEDICAL CENTER - KANSAS CITY,4801 LINWOOD BLVD,KANSAS CITY,MO,64128,GOVERNMENT - FEDERAL,157.0,3.9
115,VA MEDICAL CENTER - MANCHESTER,718 SMYTH RD,MANCHESTER,NH,3104,GOVERNMENT - FEDERAL,-999.0,3.8
116,RAYMOND G. MURPHY VA MEDICAL CENTER,1501 SAN PEDRO SE,ALBUQUERQUE,NM,87108,GOVERNMENT - FEDERAL,-999.0,3.9
117,VA MEDICAL CENTER - LYONS CAMPUS,151 KNOLLCROFT RD,LYONS,NJ,7939,GOVERNMENT - FEDERAL,-999.0,4.2
118,VA MEDICAL CENTER - OMAHA,4101 WOOLWORTH AVE,OMAHA,NE,68105,GOVERNMENT - FEDERAL,-999.0,4.1
119,HUDSON REGIONAL HOSPITAL,55 MEADOWLANDS PARKWAY,SECAUCUS,NJ,7094,PROPRIETARY,234.0,4.0
120,ALEDA E. LUTZ VA MEDICAL CENTER,1500 WEISS ST,SAGINAW,MI,48602,GOVERNMENT - FEDERAL,-999.0,3.0
121,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,1500 E WOODROW WILSON DR,JACKSON,MS,39216,GOVERNMENT - FEDERAL,-999.0,3.3
122,JOHN BROOKS RECOVERY CENTER - RESIDENT DRUG TREATMENT (WOMEN),20 SOUTH TENNESSEE AVENUE,ATLANTIC CITY,NJ,8401,PROPRIETARY,29.0,N/A
123,VA MEDICAL CENTER - FORT MEADE CAMPUS,113 COMANCHE RD,FORT MEADE,SD,57741,GOVERNMENT - FEDERAL,-999.0,N/A
124,VA CARIBBEAN HEALTHCARE SYSTEM,10 CASIA ST,SAN JUAN,PR,921,GOVERNMENT - FEDERAL,-999.0,4.1
125,VA MEDICAL CENTER - WHITE RIVER JUNCTION,163 VETERANS DR,WHITE RIVER JUNCTION,VT,5009,GOVERNMENT - FEDERAL,-999.0,4.6
126,CHALMERS P. WYLIE VA AMBULATORY CARE CENTER,420 N JAMES RD,COLUMBUS,OH,43219,GOVERNMENT - FEDERAL,-999.0,3.9
127,GULF COAST VETERANS HEALTH CARE SYSTEM,400 VETERANS AVE,BILOXI,MS,39531,GOVERNMENT - FEDERAL,-999.0,3.2
128,VA MEDICAL CENTER AND AMBULATORY CARE CLINIC,3687 VETERANS DR,FORT HARRISON,MT,59636,GOVERNMENT - FEDERAL,-999.0,N/A
129,MAYO CLINIC HOSPITAL METHODIST CAMPUS,201 WEST CENTER ST,ROCHESTER,MN,55902,NON-PROFIT,794.0,4.3
130,ESSENTIA HEALTH VIRGINIA,901 9TH ST N,VIRGINIA,MN,55792,NON-PROFIT,83.0,N/A
131,SHAWNEE MISSION PRAIRIE STAR,23401 PRAIRIE STAR PKWY,LENEXA,KS,66227,NOT AVAILABLE,-999.0,N/A
132,EDWARD PLAINFIELD,24600 W 127TH ST,PLAINFIELD,IL,60585,NOT AVAILABLE,-999.0,N/A
133,BEATRICE COMMUNITY HOSPITAL,4800 HOSPITAL PKWY,BEATRICE,NE,68310,NON-PROFIT,25.0,3.1
134,VIA CHRISTI HOSPITAL ST. JOSEPH,3600 E HARRY ST,WICHITA,KS,67218,NOT AVAILABLE,-999.0,2.5
135,ST. ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,8280 WEST WARM SPRINGS ROAD,LAS VEGAS,NV,89113,NON-PROFIT,147.0,3.6
136,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,1201 BROAD ROCK BLVD,RICHMOND,VA,23225,GOVERNMENT - FEDERAL,-999.0,4.0
137,VA MEDICAL CENTER - CHEYENNE,2360 E PERSHING BLVD,CHEYENNE,WY,82001,GOVERNMENT - FEDERAL,-999.0,3.9
138,GEORGE E. WAHLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,500 FOOTHILL DR,SALT LAKE CITY,UT,84148,GOVERNMENT - FEDERAL,-999.0,4.1
139,VA MEDICAL CENTER - VANCOUVER CAMPUS,1601 E 4TH PLAIN BLVD,VANCOUVER,WA,98661,GOVERNMENT - FEDERAL,-999.0,3.8
140,PARSONS STATE HOSPITAL,2601 GABRIEL AVENUE,PARSONS,KS,67357,GOVERNMENT - STATE,-999.0,3.4
141,CINCINNATI CHILDREN'S LIBERTY,7777 YANKEE RD,MIDDLETOWN,OH,45044,NON-PROFIT,42.0,3.6
142,SAINT FRANCIS HOSPITAL MEMPHIS,5959 PARK AVE,MEMPHIS,TN,38119,NON-PROFIT,479.0,2.9
143,MERIT HEALTH MADISON,161 RIVER OAKS DR,CANTON,MS,39046,PROPRIETARY,67.0,3.5
144,OU MEDICAL CENTER EDMOND-ER,1 S BRYANT AVE,EDMOND,OK,73034,NOT AVAILABLE,-999.0,2.8
145,NORMAN REGIONAL HEALTHPLEX,3300 HEALTHPLEX PKWY,NORMAN,OK,73072,NON-PROFIT,152.0,3.6
146,PLUM CREEK SPECIALTY HOSPITAL,5601 PLUM CREEK DRIVE,AMARILLO,TX,79124,PROPRIETARY,47.0,1.6
147,IU HEALTH UNIVERSITY HOSPITAL,550 UNIVERSITY BLVD,INDIANAPOLIS,IN,46202,GOVERNMENT - STATE,-999.0,3.8
148,RILEY HOSPITAL FOR CHILDREN,705 RILEY HOSPITAL DR,INDIANAPOLIS,IN,46202,NOT AVAILABLE,-999.0,4.1
149,MT CARMEL EAST HOSPITAL,6001 E BROAD ST,COLUMBUS,OH,43213,NON-PROFIT,461.0,2.3
150,SOUTHVIEW HOSPITAL,1997 MIAMISBURG CENTERVILLE RD,DAYTON,OH,45459,NON-PROFIT,128.0,4.6
151,TRINITY MEDICAL CENTER WEST-ER,4000 JOHNSON RD,STEUBENVILLE,OH,43952,NON-PROFIT,256.0,2.5
152,AKRON CHILDREN'S HOSP BEEGHLY,6505 MARKET ST,BOARDMAN,OH,44512,NON-PROFIT,43.0,3.9
153,VIBRA HOSPITAL OF AMARILLO,7501 WALLACE BLVD,AMARILLO,TX,79106,PROPRIETARY,72.0,3.0
154,BETHESDA ARROW SPRINGS-ER,100 ARROW SPRINGS BLVD,LEBANON,OH,45036,NOT AVAILABLE,-999.0,3.0
155,METHODIST HOSPITAL-SOUTHLAKE,8701 BROADWAY,MERRILLVILLE,IN,46410,NOT AVAILABLE,-999.0,3.6
156,WARD MEMORIAL HOSPITAL,406 SOUTH GARY STREET,MONAHANS,TX,79756,GOVERNMENT - LOCAL,25.0,2.9
157,CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,"1900 PINE,7TH FLOOR",ABILENE,TX,79601,NON-PROFIT,46.0,N/A
158,TEXAS NEUROREHAB CENTER,"1106 WEST DITTMAR ROAD,BUILDING 9",AUSTIN,TX,78745,PROPRIETARY,47.0,4.1
159,CORNERSTONE HOSPITAL OF AUSTIN,4207 BURNET ROAD,AUSTIN,TX,78756,PROPRIETARY,103.0,3.9
160,CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,"2830 CALDER AVENUE,4TH FLOOR",BEAUMONT,TX,77702,NON-PROFIT,51.0,1.9
161,CHRISTUS DUBUIS HOSPITAL OF BEAUMONT SOUTH,860 SOUTH 8TH STREET,BEAUMONT,TX,77701,PROPRIETARY,18.0,1.9
162,SELECT SPECIALTY HOSPITAL - DALLAS,2329 PARKER ROAD,CARROLLTON,TX,75010,PROPRIETARY,60.0,3.6
163,OVERLOOK MEDICAL CENTER,1000 GALLOPING HILL RD,UNION,NJ,7083,NOT AVAILABLE,-999.0,3.5
164,KINDRED HOSPITAL EAST HOUSTON,15101 EAST FREEWAY,CHANNELVIEW,TX,77530,PROPRIETARY,83.0,5.0
165,CORNERSTONE HOSPITAL CONROE,1500 GRAND LAKE DRIVE,CONROE,TX,76208,PROPRIETARY,41.0,4.0
166,ATRIUM MEDICAL CENTER AT CORINTH,3305 CORINTH PARKWAY,CORINTH,TX,78465,PROPRIETARY,40.0,N/A
167,SAINT ALPHONSUS EAGLE HEALTH PLZ-ER,323 E RIVERSIDE DR,EAGLE,ID,83616,NOT AVAILABLE,-999.0,N/A
168,OLYMPIC MEDICAL CENTER,939 CAROLINE ST,PORT ANGELES,WA,98362,GOVERNMENT - DISTRICT/AUTHORITY,126.0,3.9
169,EAST TEXAS MEDICAL CENTER - QUITMAN,117 WINNSBORO STREET,QUITMAN,TX,75783,NON-PROFIT,25.0,N/A
170,HARDEMAN COUNTY MEMORIAL HOSPITAL,402 MERCER STREET,QUANAH,TX,79252,GOVERNMENT - DISTRICT/AUTHORITY,24.0,4.0
171,ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVENUE,ROUND ROCK,TX,78681,NON-PROFIT,173.0,4.3
172,TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,3150 HORIZON ROAD,ROCKWALL,TX,75032,PROPRIETARY,50.0,3.0
173,PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI NORTH,"600 ELIZABETH STREET,THIRD FLOOR",CORPUS CHRISTI,TX,78413,NON-PROFIT,22.0,3.0
174,TEXAS CENTER FOR INFECTIOUS DISEASE,2303 SOUTHEAST MILITARY DRIVE,SAN ANTONIO,TX,78223,GOVERNMENT - STATE,72.0,2.9
175,BAYLOR SPECIALTY HOSPITAL,3504 SWISS AVENUE,DALLAS,TX,75204,NON-PROFIT,68.0,N/A
176,LIFECARE HOSPITALS OF DALLAS,1950 RECORD CROSSING ROAD,DALLAS,TX,75235,PROPRIETARY,60.0,4.0
177,KINDRED HOSPITAL DALLAS CENTRAL,"8050 MEADOW ROAD,FIRST FLOOR",DALLAS,TX,75231,PROPRIETARY,60.0,4.3
178,INTEGRITY TRANSITIONAL HOSPITAL,2813 SOUTH MAYHILL ROAD,DENTON,TX,76208,PROPRIETARY,54.0,2.2
179,MESA HILL SPECIALTY HOSPITAL,2311 NORTH OREGON STREET,EL PASO,TX,79902,PROPRIETARY,32.0,1.0
180,MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,SEMINOLE,TX,79360,GOVERNMENT - DISTRICT/AUTHORITY,25.0,4.5
181,SHAMROCK GENERAL HOSPITAL,1000 SOUTH MAIN STREET,SHAMROCK,TX,79079,GOVERNMENT - DISTRICT/AUTHORITY,25.0,3.1
182,KINDRED HOSPITAL EL PASO,1740 CURIE DRIVE,EL PASO,TX,79902,PROPRIETARY,62.0,4.0
183,EL PASO LTAC HOSPITAL,"1221 NORTH COTTON,THIRD FLOOR",EL PASO,TX,79902,PROPRIETARY,33.0,3.4
184,LIFECARE HOSPITALS OF FORT WORTH,6201 OVERTON RIDGE BOULEVARD,FORT WORTH,TX,76132,PROPRIETARY,80.0,4.4
